A/lambda,Rate_Lr15,Power_Lr15,Cond_Lr15,SR_Lr15
1.0,15.702922,44.699346,7.92,1.0000
1.2,16.532663,45.437129,13.12,1.0000
1.4,16.458304,54.845252,9.60,1.0000
1.5999999999999999,16.002311,44.390226,14.89,1.0000
1.7999999999999998,16.282467,43.511618,10.74,1.0000
1.9999999999999998,16.934721,53.430515,7.06,1.0000
2.1999999999999997,16.893465,44.563528,5.01,1.0000
2.3999999999999995,16.703243,37.291227,5.36,1.0000
2.5999999999999996,17.096019,48.492229,11.58,1.0000
2.8,16.845875,55.933452,7.67,1.0000
2.9999999999999996,16.828034,54.719991,14.17,1.0000
3.1999999999999993,18.653725,79.586846,6.75,1.0000
3.3999999999999995,17.149059,46.596211,5.56,1.0000
3.5999999999999996,17.008127,35.744289,3.23,1.0000
3.7999999999999994,16.999401,48.136824,24.29,1.0000
3.999999999999999,16.402989,43.935354,5.98,1.0000
4.199999999999999,16.570910,36.544161,3.64,1.0000
4.3999999999999995,17.365061,46.839993,6.94,1.0000
4.6,17.721311,50.410070,4.85,1.0000
4.799999999999999,17.511766,56.659516,8.22,1.0000
4.999999999999999,17.700374,55.350304,5.92,1.0000
5.199999999999999,18.053775,58.899321,4.82,1.0000
5.399999999999999,17.775932,45.085800,3.65,1.0000
5.599999999999999,18.187234,49.863782,3.47,1.0000
5.799999999999999,16.850840,42.778994,5.70,1.0000
5.999999999999999,17.564197,47.166886,3.83,1.0000
6.199999999999999,17.474280,44.359880,3.62,1.0000
6.399999999999999,17.868632,39.499251,2.97,1.0000
6.599999999999999,17.710379,51.518922,5.22,1.0000
6.799999999999999,17.953348,51.221495,4.07,1.0000
6.999999999999998,17.616853,42.801441,4.11,1.0000
7.199999999999998,17.662658,43.817546,4.24,1.0000
7.399999999999999,17.557075,46.035509,4.09,1.0000
7.599999999999999,15.943945,34.695694,5.44,1.0000
7.799999999999999,16.516669,36.391619,6.56,1.0000
7.999999999999998,17.521057,57.053833,6.99,1.0000
8.2,16.348781,36.234037,8.54,1.0000
8.399999999999999,17.585586,48.701401,4.75,1.0000
8.599999999999998,16.273450,34.529974,5.27,1.0000
8.799999999999997,16.750158,51.123744,7.64,1.0000
8.999999999999998,17.900348,44.696257,3.59,1.0000
9.199999999999998,17.620328,54.402110,4.25,1.0000
9.399999999999999,16.694415,42.291888,4.66,1.0000
9.599999999999998,17.491612,38.615718,4.66,1.0000
9.799999999999997,17.228952,42.618065,5.16,1.0000
